Country,Nominal_gdp_p_capita,PPP_gdp_p_capita,GDP_growth_percentage,Rise_fall_GDP
Afghanistan,581,2390,-5,medium fall
Albania,5287,14218,-3.5,medium fall
Algeria,3263,11112,-5.992,medium fall
Angola,2012,6932,-3.975,medium fall
Antigua and Barbuda,14168,18618,-17.273,very high fall
Argentina,8555,20751,-9.956,High fall
Armenia,4155,13261,-7.571,High fall
Aruba,21833,29090,-25.457,very high fall
Australia,52825,51680,-2.438,short fall
Austria,48154,55218,-6.59,High fall
Azerbaijan,4218,14431,-4.29,medium fall
Bahrain,22402,48766,-5.395,medium fall
Bangladesh,1998,5307,3.798,medium rise
Barbados,15163,13533,-17.6,very high fall
Belarus,6399,20187,-0.9,short fall
Belgium,44529,51096,-6.424,High fall
Belize,3945,6046,-14.089,very high fall
Benin,1251,3437,1.997,short rise
Bhutan,3359,12060,-0.817,short fall
Bolivia,3360,8344,-7.7,High fall
Bosnia and Herzegovina,5913,15047,-5.5,medium fall
Botswana,6781,16893,-8.25,High fall
Brazil,6783,14916,-4.059,medium fall
Brunei,26089,62371,1.203,short rise
Bulgaria,9919,23817,-3.844,medium fall
Burkina Faso,791,2262,0.793,short rise
Burundi,254,760,-1.282,short fall
Cabo Verde,3148,6424,-14.029,very high fall
Cambodia,1655,4695,-3.532,medium fall
Cameroon,1470,3646,-2.769,short fall
Canada,43278,48720,-5.403,medium fall
Central African Republic,490,979,-0.015,short fall
Chad,654,1611,-0.887,Short fall
Chile,12990,23366,-5.841,medium fall
China,10484,17192,2.27,short rise
Colombia,5336,14324,-6.847,High fall
Comoros,1362,3048,-0.503,short fall
Costa Rica,11982,19990,-4.796,medium fall
Croatia,14072,27717,-9,High fall
Cyprus,27054,40107,-5.106,medium fall
Czech Republic,22579,40618,-5.556,medium fall
Cote d'Ivoire ,2278,5365,2.277,short rise
Republic of the Democratic Republic of the Congo,541,1106,-0.064,short fall
Denmark,60494,58933,-3.287,medium fall
Djibouti,3074,5096,-1,short fall
Dominica,6904,11073,-10.445,very high fall
Dominican Republic,7530,18068,-6.731,High fall
Ecuador,5520,11009,-7.5,High fall
Egypt,3587,12790,3.57,medium rise
El Salvador,3794,8422,-8.58,High fall
Equatorial Guinea,6773,17788,-5.778,medium fall
Eritrea,588,1821,-0.627,short fall
Estonia,23330,17745,-2.932,short fall
Eswatini,3504,8957,-3.342,medium fall
Ethiopia,994,2908,6.057,High rise
Fiji,4797,11567,-19,very high fall
Finland,48981,49853,-2.893,short fall
France,39907,46062,-8.232,High fall
Gabon,7421,15970,-1.757,short fall
Georgia,4248,14918,-6.1,High fall
Germany,45733,54076,-4.903,medium fall
Ghana,2223,5693,0.88,short rise
Greece,17670,28748,-8.248,High fall
Grenada,9186,15431,-13.464,very high fall
Guatemala,4289,8239,-1.5,short fall
Guinea,1106,2604,5.225,medium rise
Guinea-Bissau,790,2348,-2.4,short fall
Guyana,7327,19684,43.384,very high rise
Haiti,1253,2916,-3.7,medium fall
Honduras,2383,5450,-8,High fall
HongKong,46753,59520,-6.142,High fall
Hungary,15820,33030,-4.962,medium fall
Iceland,59634,55966,-6.649,High fall
India,1965,4661,-7.965,High fall
Indonesia,3922,12222,-2.07,short fall
Iraq,4289,10003,-10.885,very high fall
Ireland,83850,94392,2.475,short rise
Iran,7555,13073,1.516,short rise
Israel,43689,40547,-2.377,short fall
Italy,31288,40861,-8.871,High fall
Jamaica,5096,9975,-10.223,very high fall
Japan,40146,42248,-4.83,medium fall
Jordan,4259,10306,-1.973,short fall
Kazakhstan,8733,26565,-2.598,short fall
Kenya,2039,4926,-0.127,short fall
Kiribati,1688,2200,-0.476,short fall
South Korea,31497,44621,-0.958,short fall
Kosovo,4310,11274,-6,medium fall
Kuwait,22105,41627,-8.134,High fall
Kyrgyzstan,1146,5036,-7.98,High fall
Laos,2626,8111,-0.435,short fall
Latvia,17560,31509,-3.624,medium fall
Lebanon,2802,11564,-25,very high fall
Lesotho,1003,2718,-4.543,medium fall
Liberia,646,1557,-2.969,short fall
Libya,3281,5893,-59.719,very high fall
Lithuania,19917,38824,-0.823,short fall
